train_no,station_code,event_type,scheduled_time_ts,actual_time_ts,delay_minutes
T0622,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:00.237706702,0.0
T0073,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:00.265796178,0.0
T0632,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:00.277214664,0.0
T0129,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:00.334867640,0.01
T0638,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:00.364397689,0.01
T0168,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:00.548039201,0.01
T0315,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:00.882714616,0.01
T0404,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:00.973217316,0.02
T0011,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:00.998366783,0.02
T0321,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:01.130256152,0.02
T0530,BLY,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:01.194922669,0.02
T0516,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:01.424808554,0.02
T0236,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:01.486802980,0.02
T0101,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:01.532816702,0.03
T0043,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:01.679698629,0.03
T0440,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:01.787248409,0.03
T0402,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:01.793901711,0.03
T0473,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:01.810070172,0.03
T0279,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:01.995909692,0.03
T0487,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:02.064229484,0.03
T0362,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:02.117711933,0.04
T0807,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:02.118405413,0.04
T0059,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:02.221534352,0.04
T0291,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:02.225391552,0.04
T0244,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:02.547124603,0.04
T0007,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:02.872260893,0.05
T0400,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:03.025095722,0.05
T0700,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:03.038986029,0.05
T0714,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:03.087190262,0.05
T0033,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:03.228668682,0.05
T0684,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:03.389153409,0.06
T0313,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:03.450439454,0.06
T0573,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:03.609850670,0.06
T0069,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:03.718841702,0.06
T0507,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:04.056933467,0.07
T0351,HWH,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:04.072740027,0.07
T0588,BDC,ARRIVAL,2026-01-14 00:05:00.000000000,2026-01-14 00:05:04.087435194,0.07
