train_no,station_code,stop_sequence,scheduled_arrival_ts,scheduled_departure_ts,is_stop,train_type
T0001,HWH,1,2026-01-14 03:45:00.000000000,2026-01-14 03:47:00.000000000,True,Freight
T0002,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Passenger
T0003,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Freight
T0004,HWH,1,2026-01-14 00:50:00.000000000,2026-01-14 00:52:00.000000000,True,Freight
T0005,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Passenger
T0006,HWH,1,2026-01-14 00:55:00.000000000,2026-01-14 00:57:00.000000000,True,Passenger
T0007,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Freight
T0008,HWH,1,2026-01-14 01:10:00.000000000,2026-01-14 01:12:00.000000000,True,Express
T0009,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Freight
T0010,HWH,1,2026-01-14 00:35:00.000000000,2026-01-14 00:37:00.000000000,True,Freight
T0011,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Freight
T0012,HWH,1,2026-01-14 00:45:00.000000000,2026-01-14 00:47:00.000000000,True,Freight
T0013,HWH,1,2026-01-14 01:20:00.000000000,2026-01-14 01:22:00.000000000,True,Passenger
T0014,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Freight
T0015,HWH,1,2026-01-14 02:30:00.000000000,2026-01-14 02:32:00.000000000,True,Express
T0016,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Passenger
T0017,HWH,1,2026-01-14 02:00:00.000000000,2026-01-14 02:02:00.000000000,True,Express
T0018,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Express
T0019,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Express
T0020,HWH,1,2026-01-14 02:35:00.000000000,2026-01-14 02:37:00.000000000,True,Express
T0021,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Passenger
T0022,HWH,1,2026-01-14 02:50:00.000000000,2026-01-14 02:52:00.000000000,True,Passenger
T0023,HWH,1,2026-01-14 00:40:00.000000000,2026-01-14 00:42:00.000000000,True,Express
T0024,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Express
T0025,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Passenger
T0026,HWH,1,2026-01-14 00:30:00.000000000,2026-01-14 00:32:00.000000000,True,Passenger
T0027,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Passenger
T0028,HWH,1,2026-01-14 00:35:00.000000000,2026-01-14 00:37:00.000000000,True,Freight
T0029,HWH,1,2026-01-14 01:45:00.000000000,2026-01-14 01:47:00.000000000,True,Freight
T0030,HWH,1,2026-01-14 00:45:00.000000000,2026-01-14 00:47:00.000000000,True,Freight
T0031,HWH,1,2026-01-14 00:35:00.000000000,2026-01-14 00:37:00.000000000,True,Express
T0032,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Freight
T0033,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Express
T0034,HWH,1,2026-01-14 00:30:00.000000000,2026-01-14 00:32:00.000000000,True,Express
T0035,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Freight
T0036,HWH,1,2026-01-14 00:40:00.000000000,2026-01-14 00:42:00.000000000,True,Express
T0037,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Freight
T0038,HWH,1,2026-01-14 00:40:00.000000000,2026-01-14 00:42:00.000000000,True,Freight
T0039,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Passenger
T0040,HWH,1,2026-01-14 02:05:00.000000000,2026-01-14 02:07:00.000000000,True,Freight
T0041,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Passenger
T0042,HWH,1,2026-01-14 00:45:00.000000000,2026-01-14 00:47:00.000000000,True,Freight
T0043,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Freight
T0044,HWH,1,2026-01-14 02:20:00.000000000,2026-01-14 02:22:00.000000000,True,Passenger
T0045,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Passenger
T0046,HWH,1,2026-01-14 03:20:00.000000000,2026-01-14 03:22:00.000000000,True,Freight
T0047,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Express
T0048,HWH,1,2026-01-14 04:05:00.000000000,2026-01-14 04:07:00.000000000,True,Passenger
T0049,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Express
T0050,HWH,1,2026-01-14 00:45:00.000000000,2026-01-14 00:47:00.000000000,True,Express
T0051,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Express
T0052,HWH,1,2026-01-14 01:40:00.000000000,2026-01-14 01:42:00.000000000,True,Passenger
T0053,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Express
T0054,HWH,1,2026-01-14 02:40:00.000000000,2026-01-14 02:42:00.000000000,True,Passenger
T0055,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Express
T0056,HWH,1,2026-01-14 02:35:00.000000000,2026-01-14 02:37:00.000000000,True,Freight
T0057,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Freight
T0058,HWH,1,2026-01-14 00:20:00.000000000,2026-01-14 00:22:00.000000000,True,Passenger
T0059,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Freight
T0060,HWH,1,2026-01-14 01:05:00.000000000,2026-01-14 01:07:00.000000000,True,Freight
T0061,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Express
T0062,HWH,1,2026-01-14 00:35:00.000000000,2026-01-14 00:37:00.000000000,True,Passenger
T0063,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Express
T0064,HWH,1,2026-01-14 01:05:00.000000000,2026-01-14 01:07:00.000000000,True,Express
T0065,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Express
T0066,HWH,1,2026-01-14 00:45:00.000000000,2026-01-14 00:47:00.000000000,True,Express
T0067,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Express
T0068,HWH,1,2026-01-14 01:55:00.000000000,2026-01-14 01:57:00.000000000,True,Express
T0069,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Express
T0070,HWH,1,2026-01-14 01:30:00.000000000,2026-01-14 01:32:00.000000000,True,Passenger
T0071,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Freight
T0072,HWH,1,2026-01-14 01:40:00.000000000,2026-01-14 01:42:00.000000000,True,Express
T0073,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Express
T0074,HWH,1,2026-01-14 02:25:00.000000000,2026-01-14 02:27:00.000000000,True,Express
T0075,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Express
T0076,HWH,1,2026-01-14 01:50:00.000000000,2026-01-14 01:52:00.000000000,True,Express
T0077,BDC,6,2026-01-14 00:20:00.000000000,2026-01-14 00:22:00.000000000,True,Express
T0078,BDC,6,2026-01-14 00:30:00.000000000,2026-01-14 00:32:00.000000000,True,Freight
T0079,HWH,1,2026-01-14 01:25:00.000000000,2026-01-14 01:27:00.000000000,True,Freight
T0080,HWH,1,2026-01-14 00:35:00.000000000,2026-01-14 00:37:00.000000000,True,Express
T0081,HWH,1,2026-01-14 03:05:00.000000000,2026-01-14 03:07:00.000000000,True,Freight
T0082,HWH,1,2026-01-14 01:50:00.000000000,2026-01-14 01:52:00.000000000,True,Passenger
T0083,HWH,1,2026-01-14 02:05:00.000000000,2026-01-14 02:07:00.000000000,True,Express
T0084,HWH,1,2026-01-14 01:30:00.000000000,2026-01-14 01:32:00.000000000,True,Passenger
T0085,HWH,1,2026-01-14 01:30:00.000000000,2026-01-14 01:32:00.000000000,True,Passenger
T0086,HWH,1,2026-01-14 01:10:00.000000000,2026-01-14 01:12:00.000000000,True,Express
T0087,HWH,1,2026-01-14 03:00:00.000000000,2026-01-14 03:02:00.000000000,True,Freight
T0088,HWH,1,2026-01-14 01:50:00.000000000,2026-01-14 01:52:00.000000000,True,Passenger
T0089,BDC,6,2026-01-14 00:10:00.000000000,2026-01-14 00:12:00.000000000,True,Express
T0090,BDC,6,2026-01-14 01:05:00.000000000,2026-01-14 01:07:00.000000000,True,Passenger
T0091,BDC,6,2026-01-14 00:10:00.000000000,2026-01-14 00:12:00.000000000,True,Passenger
T0092,BDC,6,2026-01-14 01:50:00.000000000,2026-01-14 01:52:00.000000000,True,Passenger
T0093,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Passenger
T0094,HWH,1,2026-01-14 02:00:00.000000000,2026-01-14 02:02:00.000000000,True,Freight
T0095,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Passenger
T0096,HWH,1,2026-01-14 02:40:00.000000000,2026-01-14 02:42:00.000000000,True,Passenger
T0097,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Passenger
T0098,HWH,1,2026-01-14 02:15:00.000000000,2026-01-14 02:17:00.000000000,True,Freight
T0099,HWH,1,2026-01-14 03:40:00.000000000,2026-01-14 03:42:00.000000000,True,Passenger
T0100,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Passenger
T0101,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Freight
T0102,HWH,1,2026-01-14 00:45:00.000000000,2026-01-14 00:47:00.000000000,True,Freight
T0103,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Freight
T0104,HWH,1,2026-01-14 01:20:00.000000000,2026-01-14 01:22:00.000000000,True,Passenger
T0105,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Freight
T0106,HWH,1,2026-01-14 01:15:00.000000000,2026-01-14 01:17:00.000000000,True,Freight
T0107,HWH,1,2026-01-14 05:15:00.000000000,2026-01-14 05:17:00.000000000,True,Passenger
T0108,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Freight
T0109,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Passenger
T0110,HWH,1,2026-01-14 01:10:00.000000000,2026-01-14 01:12:00.000000000,True,Express
T0111,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Freight
T0112,HWH,1,2026-01-14 03:00:00.000000000,2026-01-14 03:02:00.000000000,True,Express
T0113,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Passenger
T0114,HWH,1,2026-01-14 01:25:00.000000000,2026-01-14 01:27:00.000000000,True,Freight
T0115,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Passenger
T0116,HWH,1,2026-01-14 00:25:00.000000000,2026-01-14 00:27:00.000000000,True,Express
T0117,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Passenger
T0118,HWH,1,2026-01-14 00:40:00.000000000,2026-01-14 00:42:00.000000000,True,Freight
T0119,HWH,1,2026-01-14 02:15:00.000000000,2026-01-14 02:17:00.000000000,True,Freight
T0120,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Express
T0121,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Passenger
T0122,HWH,1,2026-01-14 03:00:00.000000000,2026-01-14 03:02:00.000000000,True,Freight
T0123,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Express
T0124,HWH,1,2026-01-14 00:45:00.000000000,2026-01-14 00:47:00.000000000,True,Freight
T0125,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Freight
T0126,HWH,1,2026-01-14 01:20:00.000000000,2026-01-14 01:22:00.000000000,True,Passenger
T0127,HWH,1,2026-01-14 01:40:00.000000000,2026-01-14 01:42:00.000000000,True,Freight
T0128,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Passenger
T0129,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Freight
T0130,HWH,1,2026-01-14 02:35:00.000000000,2026-01-14 02:37:00.000000000,True,Express
T0131,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Freight
T0132,HWH,1,2026-01-14 00:45:00.000000000,2026-01-14 00:47:00.000000000,True,Passenger
T0133,HWH,1,2026-01-14 01:05:00.000000000,2026-01-14 01:07:00.000000000,True,Passenger
T0134,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Express
T0135,HWH,1,2026-01-14 00:55:00.000000000,2026-01-14 00:57:00.000000000,True,Freight
T0136,HWH,1,2026-01-14 00:05:00.000000000,2026-01-14 00:07:00.000000000,True,Freight
T0137,HWH,1,2026-01-14 00:55:00.000000000,2026-01-14 00:57:00.000000000,True,Express
