train_no,station_code,event_type,actual_time_ts,delay_minutes
T0001,HWH,ARRIVAL,45:22.5,0.38
T0001,HWH,DEPARTURE,47:22.5,0.38
T0002,HWH,ARRIVAL,10:25.1,5.42
T0002,HWH,DEPARTURE,12:25.1,5.42
T0003,HWH,ARRIVAL,06:03.2,1.05
T0003,HWH,DEPARTURE,08:03.2,1.05
T0004,HWH,ARRIVAL,50:43.8,0.73
T0004,HWH,DEPARTURE,52:43.8,0.73
T0005,HWH,ARRIVAL,05:18.3,0.31
T0005,HWH,DEPARTURE,07:18.3,0.31
T0006,HWH,ARRIVAL,55:18.3,0.31
T0006,HWH,DEPARTURE,57:18.3,0.31
T0007,HWH,ARRIVAL,05:02.9,0.05
T0007,HWH,DEPARTURE,07:02.9,0.05
T0008,HWH,ARRIVAL,11:36.5,1.61
T0008,HWH,DEPARTURE,13:36.5,1.61
T0009,HWH,ARRIVAL,05:44.1,0.74
T0009,HWH,DEPARTURE,07:44.1,0.74
T0010,HWH,ARRIVAL,35:59.1,0.99
T0010,HWH,DEPARTURE,37:59.1,0.99
T0011,HWH,ARRIVAL,05:01.0,0.02
T0011,HWH,DEPARTURE,07:01.0,0.02
T0012,HWH,ARRIVAL,47:48.2,2.8
T0012,HWH,DEPARTURE,49:48.2,2.8
T0013,HWH,ARRIVAL,23:12.9,3.22
T0013,HWH,DEPARTURE,25:12.9,3.22
T0014,HWH,ARRIVAL,05:11.5,0.19
T0014,HWH,DEPARTURE,07:11.5,0.19
T0015,HWH,ARRIVAL,30:09.6,0.16
T0015,HWH,DEPARTURE,32:09.6,0.16
T0016,HWH,ARRIVAL,05:21.9,0.36
T0016,HWH,DEPARTURE,07:21.9,0.36
T0017,HWH,ARRIVAL,00:17.4,0.29
T0017,HWH,DEPARTURE,02:17.4,0.29
T0018,HWH,ARRIVAL,05:35.7,0.6
T0018,HWH,DEPARTURE,07:35.7,0.6
T0019,HWH,ARRIVAL,05:27.1,0.45
T0019,HWH,DEPARTURE,07:27.1,0.45
T0020,HWH,ARRIVAL,35:16.5,0.28
T0020,HWH,DEPARTURE,37:16.5,0.28
