step,active_trains,avg_speed,congestion_index,overtake_events,junction_conflicts,dynamic_switches
0,0,0,0,0,0,0
1,1,0.0,1.0,0,0,0
2,1,1.0,0.9772727272727273,0,0,0
3,1,2.0,0.9545454545454546,0,0,0
4,1,3.0,0.9318181818181819,0,0,0
5,1,4.0,0.9090909090909091,0,0,0
6,1,5.0,0.8863636363636364,0,0,0
7,1,6.0,0.8636363636363636,0,0,0
8,1,7.0,0.8409090909090909,0,0,0
9,1,8.0,0.8181818181818181,0,0,0
10,1,9.0,0.7954545454545454,0,0,0
11,1,10.0,0.7727272727272727,0,0,0
12,1,11.0,0.75,0,0,0
13,1,12.0,0.7272727272727273,0,0,0
14,1,13.0,0.7045454545454546,0,0,0
15,1,14.0,0.6818181818181819,0,0,0
16,1,15.0,0.6590909090909092,0,0,0
17,1,16.0,0.6363636363636364,0,0,0
18,1,17.0,0.6136363636363636,0,0,0
19,1,18.0,0.5909090909090908,0,0,0
20,1,19.0,0.5681818181818181,0,0,0
21,1,20.0,0.5454545454545454,0,0,0
22,1,21.0,0.5227272727272727,0,0,0
23,1,22.0,0.5,0,0,0
24,1,23.0,0.4772727272727273,0,0,1
25,1,24.0,0.4545454545454546,0,0,0
26,2,12.5,0.7159090909090908,0,0,0
27,2,13.5,0.6931818181818181,0,0,0
28,2,14.5,0.6704545454545454,0,0,0
29,2,15.5,0.6477272727272727,0,0,0
30,2,16.5,0.625,0,0,0
31,2,17.5,0.6022727272727273,0,0,0
32,2,18.5,0.5795454545454546,0,0,0
33,2,19.5,0.5568181818181819,0,0,0
34,2,20.5,0.5340909090909092,0,0,0
35,2,21.5,0.5113636363636364,0,0,1
36,2,22.5,0.48863636363636365,0,0,0
37,2,23.5,0.46590909090909094,0,0,0
38,2,24.0,0.4545454545454546,0,0,0
39,2,24.5,0.44318181818181823,0,0,0
40,2,25.0,0.43181818181818177,0,0,0
41,2,25.5,0.4204545454545454,0,0,0
42,2,26.0,0.40909090909090906,0,0,0
43,2,26.5,0.3977272727272727,0,0,0
44,2,27.0,0.38636363636363635,0,0,0
45,2,27.5,0.375,0,0,0
46,2,28.0,0.36363636363636365,0,0,0
47,2,28.5,0.3522727272727273,0,0,0
48,2,29.0,0.34090909090909094,0,0,0
49,2,29.5,0.3295454545454546,0,0,0
50,2,30.0,0.31818181818181823,0,0,0
51,2,30.5,0.30681818181818177,0,0,0
52,2,31.0,0.2954545454545454,0,0,0
53,2,31.5,0.28409090909090906,0,0,0
54,2,32.0,0.2727272727272727,0,0,0
55,2,32.5,0.26136363636363635,0,0,0
56,2,33.0,0.25,0,0,0
57,2,33.5,0.23863636363636365,0,0,0
58,2,34.0,0.2272727272727273,0,0,0
59,2,34.5,0.21590909090909094,0,0,0
60,2,35.0,0.20454545454545459,0,0,0
61,2,35.5,0.19318181818181823,0,0,0
62,2,36.0,0.18181818181818177,0,0,0
63,2,36.0,0.18181818181818177,0,0,0
64,2,36.0,0.18181818181818177,0,0,0
65,2,36.0,0.18181818181818177,0,0,0
66,2,36.0,0.18181818181818177,0,0,0
67,2,36.0,0.18181818181818177,0,0,0
68,2,36.0,0.18181818181818177,0,0,0
69,2,36.0,0.18181818181818177,0,0,0
70,2,36.0,0.18181818181818177,0,0,0
71,2,36.0,0.18181818181818177,0,0,0
72,2,36.0,0.18181818181818177,0,0,0
73,2,36.0,0.18181818181818177,0,0,0
74,2,36.0,0.18181818181818177,0,0,0
75,2,36.0,0.18181818181818177,0,0,0
76,2,36.0,0.18181818181818177,0,0,0
77,2,36.0,0.18181818181818177,0,0,0
78,2,36.0,0.18181818181818177,0,0,0
79,2,36.0,0.18181818181818177,0,0,0
80,2,36.0,0.18181818181818177,0,0,0
81,2,36.0,0.18181818181818177,0,0,0
82,2,36.0,0.18181818181818177,0,0,0
83,2,36.0,0.18181818181818177,0,0,0
84,2,36.0,0.18181818181818177,0,0,0
85,2,36.0,0.18181818181818177,0,0,0
86,2,36.0,0.18181818181818177,0,0,0
87,2,36.0,0.18181818181818177,0,0,0
88,2,36.0,0.18181818181818177,0,0,0
89,2,36.0,0.18181818181818177,0,0,0
90,2,36.0,0.18181818181818177,0,0,0
91,2,36.0,0.18181818181818177,0,0,0
92,2,36.0,0.18181818181818177,0,0,0
93,2,36.0,0.18181818181818177,0,0,0
94,2,36.0,0.18181818181818177,0,0,0
95,2,36.0,0.18181818181818177,0,0,0
96,2,36.0,0.18181818181818177,0,0,0
97,2,36.0,0.18181818181818177,0,0,0
98,2,36.0,0.18181818181818177,0,0,0
99,2,36.0,0.18181818181818177,0,0,0
100,2,36.0,0.18181818181818177,0,0,0
101,3,24.0,0.4545454545454546,0,0,0
102,3,24.333333333333332,0.446969696969697,0,0,0
103,3,24.666666666666668,0.43939393939393934,0,0,0
104,3,25.0,0.43181818181818177,0,0,0
105,3,25.333333333333332,0.4242424242424243,0,0,0
106,3,25.666666666666668,0.41666666666666663,0,0,0
107,3,26.0,0.40909090909090906,0,0,0
108,3,26.333333333333332,0.4015151515151515,0,0,0
109,3,26.666666666666668,0.3939393939393939,0,0,0
110,3,27.0,0.38636363636363635,0,0,0
111,3,27.333333333333332,0.3787878787878788,0,0,0
112,3,27.666666666666668,0.3712121212121212,0,0,0
113,3,28.0,0.36363636363636365,0,0,0
114,3,28.333333333333332,0.3560606060606061,0,0,0
115,3,28.666666666666668,0.3484848484848485,0,0,0
116,3,29.0,0.34090909090909094,0,0,0
117,3,29.333333333333332,0.33333333333333337,0,0,0
118,3,29.666666666666668,0.3257575757575757,0,0,0
119,3,30.0,0.31818181818181823,0,0,0
120,3,30.333333333333332,0.31060606060606066,0,0,0
121,3,30.666666666666668,0.303030303030303,0,0,0
122,3,31.0,0.2954545454545454,0,0,0
123,3,31.333333333333332,0.28787878787878796,0,0,0
124,3,31.666666666666668,0.2803030303030303,0,0,0
125,3,32.0,0.2727272727272727,0,0,0
126,3,32.333333333333336,0.26515151515151514,0,0,0
127,3,32.666666666666664,0.2575757575757577,0,0,0
128,3,33.0,0.25,0,0,0
129,3,33.333333333333336,0.24242424242424232,0,0,0
130,3,33.333333333333336,0.24242424242424232,0,0,0
131,3,33.333333333333336,0.24242424242424232,0,0,0
132,3,33.333333333333336,0.24242424242424232,0,0,0
133,3,33.333333333333336,0.24242424242424232,0,0,0
134,3,33.333333333333336,0.24242424242424232,0,0,0
135,3,33.333333333333336,0.24242424242424232,0,0,0
136,3,33.333333333333336,0.24242424242424232,0,0,0
137,3,33.333333333333336,0.24242424242424232,0,0,0
138,3,33.333333333333336,0.24242424242424232,0,0,0
139,3,33.333333333333336,0.24242424242424232,0,0,0
140,3,33.333333333333336,0.24242424242424232,0,0,0
141,3,33.333333333333336,0.24242424242424232,0,0,0
142,3,33.333333333333336,0.24242424242424232,0,0,0
143,3,33.333333333333336,0.24242424242424232,0,0,0
144,3,33.333333333333336,0.24242424242424232,0,0,0
145,3,33.333333333333336,0.24242424242424232,0,0,0
146,3,33.333333333333336,0.24242424242424232,0,0,0
147,3,33.333333333333336,0.24242424242424232,0,0,0
148,3,33.333333333333336,0.24242424242424232,0,0,0
149,3,33.333333333333336,0.24242424242424232,0,0,0
150,3,33.333333333333336,0.24242424242424232,0,0,0
151,3,33.333333333333336,0.24242424242424232,0,0,0
152,3,33.333333333333336,0.24242424242424232,0,0,0
153,3,33.333333333333336,0.24242424242424232,0,0,0
154,3,33.333333333333336,0.24242424242424232,0,0,0
155,3,33.333333333333336,0.24242424242424232,0,0,0
156,3,33.333333333333336,0.24242424242424232,0,0,0
157,3,33.333333333333336,0.24242424242424232,0,0,0
158,3,33.333333333333336,0.24242424242424232,0,0,0
159,3,33.333333333333336,0.24242424242424232,0,0,0
160,3,33.333333333333336,0.24242424242424232,0,0,0
161,3,33.333333333333336,0.24242424242424232,0,0,0
162,3,33.333333333333336,0.24242424242424232,0,0,0
163,3,33.333333333333336,0.24242424242424232,0,0,0
164,3,33.333333333333336,0.24242424242424232,0,0,0
165,3,33.333333333333336,0.24242424242424232,0,0,0
166,3,33.333333333333336,0.24242424242424232,0,0,0
167,3,33.333333333333336,0.24242424242424232,0,0,0
168,3,33.333333333333336,0.24242424242424232,0,0,0
169,3,33.333333333333336,0.24242424242424232,0,0,0
170,3,33.333333333333336,0.24242424242424232,0,0,0
171,3,33.333333333333336,0.24242424242424232,0,0,0
172,3,33.333333333333336,0.24242424242424232,0,0,0
173,3,33.333333333333336,0.24242424242424232,0,0,0
174,3,33.333333333333336,0.24242424242424232,0,0,0
175,3,33.333333333333336,0.24242424242424232,0,0,0
176,3,33.333333333333336,0.24242424242424232,0,0,0
177,3,33.333333333333336,0.24242424242424232,0,0,0
178,3,33.333333333333336,0.24242424242424232,0,0,0
179,3,33.333333333333336,0.24242424242424232,0,0,0
180,3,33.333333333333336,0.24242424242424232,0,0,0
181,3,33.333333333333336,0.24242424242424232,0,0,0
182,3,33.333333333333336,0.24242424242424232,0,0,0
183,3,33.333333333333336,0.24242424242424232,0,0,0
184,3,33.333333333333336,0.24242424242424232,0,0,0
185,3,33.333333333333336,0.24242424242424232,0,0,0
186,3,33.333333333333336,0.24242424242424232,0,0,0
187,3,33.333333333333336,0.24242424242424232,0,0,0
188,3,33.333333333333336,0.24242424242424232,0,0,0
189,3,33.333333333333336,0.24242424242424232,0,0,0
190,3,33.333333333333336,0.24242424242424232,0,0,0
191,3,33.333333333333336,0.24242424242424232,0,0,0
192,3,33.333333333333336,0.24242424242424232,0,0,0
193,3,33.333333333333336,0.24242424242424232,0,0,0
194,3,33.333333333333336,0.24242424242424232,0,0,0
195,3,33.333333333333336,0.24242424242424232,0,0,0
196,3,33.333333333333336,0.24242424242424232,0,0,0
197,3,33.333333333333336,0.24242424242424232,0,0,0
198,3,33.333333333333336,0.24242424242424232,0,0,0
199,3,33.333333333333336,0.24242424242424232,0,0,0
200,3,33.333333333333336,0.24242424242424232,0,0,0
201,3,33.333333333333336,0.24242424242424232,0,0,0
202,3,33.333333333333336,0.24242424242424232,0,0,0
203,3,33.333333333333336,0.24242424242424232,0,0,0
204,3,33.333333333333336,0.24242424242424232,0,0,0
205,3,33.333333333333336,0.24242424242424232,0,0,0
206,3,33.333333333333336,0.24242424242424232,0,0,0
207,3,33.333333333333336,0.24242424242424232,0,0,0
208,3,33.333333333333336,0.24242424242424232,0,0,0
209,3,33.333333333333336,0.24242424242424232,0,0,0
210,3,33.333333333333336,0.24242424242424232,0,0,0
211,3,33.333333333333336,0.24242424242424232,0,0,0
212,3,33.333333333333336,0.24242424242424232,0,0,0
213,3,33.333333333333336,0.24242424242424232,0,0,0
214,3,33.333333333333336,0.24242424242424232,0,0,0
215,3,33.333333333333336,0.24242424242424232,0,0,0
216,3,33.333333333333336,0.24242424242424232,0,0,0
217,3,33.333333333333336,0.24242424242424232,0,0,0
218,3,33.333333333333336,0.24242424242424232,0,0,0
219,3,33.333333333333336,0.24242424242424232,0,0,0
220,3,33.333333333333336,0.24242424242424232,0,0,0
221,3,33.333333333333336,0.24242424242424232,0,0,0
222,3,33.333333333333336,0.24242424242424232,0,0,0
223,3,33.333333333333336,0.24242424242424232,0,0,0
224,3,33.333333333333336,0.24242424242424232,0,0,0
225,3,33.333333333333336,0.24242424242424232,0,0,0
226,3,33.333333333333336,0.24242424242424232,0,0,0
227,3,33.333333333333336,0.24242424242424232,0,0,0
228,3,33.333333333333336,0.24242424242424232,0,0,0
229,3,33.333333333333336,0.24242424242424232,0,0,0
230,3,33.333333333333336,0.24242424242424232,0,0,0
231,3,33.333333333333336,0.24242424242424232,0,0,0
232,3,33.333333333333336,0.24242424242424232,0,0,0
233,3,33.333333333333336,0.24242424242424232,0,0,0
234,3,33.333333333333336,0.24242424242424232,0,0,0
235,3,33.333333333333336,0.24242424242424232,0,0,0
236,3,33.333333333333336,0.24242424242424232,0,0,0
237,3,33.333333333333336,0.24242424242424232,0,0,0
238,3,33.333333333333336,0.24242424242424232,0,0,0
239,3,33.333333333333336,0.24242424242424232,0,0,0
240,3,33.333333333333336,0.24242424242424232,0,0,0
241,3,33.333333333333336,0.24242424242424232,0,0,0
242,3,33.333333333333336,0.24242424242424232,0,0,0
243,3,33.333333333333336,0.24242424242424232,0,0,0
244,3,33.333333333333336,0.24242424242424232,0,0,0
